Block1Type,Block1Stim,Block1Corr,Block1RespL,Block1RespM,Block1RespR
Fix1,stimuli/School/14.jpg,+,^,~,+
Fix2,stimuli/Small/8.jpg,^,+,^,~
Fix2,stimuli/Small/49.jpg,^,~,^,+
Fix2,stimuli/Small/58.jpg,^,+,~,^
Fix3,stimuli/Sad/16.jpg,~,+,~,^
Fix2,stimuli/Small/17.jpg,^,^,~,+
Fix2,stimuli/Small/16.jpg,^,^,+,~
Fix3,stimuli/Sad/58.jpg,~,~,^,+
Fix1,stimuli/School/35.jpg,+,+,^,~
Fix1,stimuli/School/31.jpg,+,~,^,+
Fix1,stimuli/School/51.jpg,+,+,~,^
Fix3,stimuli/Sad/26.jpg,~,+,~,^
Fix3,stimuli/Sad/23.jpg,~,~,+,^
Fix2,stimuli/Small/11.jpg,^,~,^,+
Fix2,stimuli/Small/14.jpg,^,+,^,~
Fix2,stimuli/Small/19.jpg,^,^,~,+
Fix3,stimuli/Sad/0.jpg,~,~,^,+
Fix3,stimuli/Sad/45.jpg,~,+,^,~
Fix1,stimuli/School/24.jpg,+,~,+,^
Fix3,stimuli/Sad/21.jpg,~,~,^,+
Fix2,stimuli/Small/22.jpg,^,+,^,~
Fix3,stimuli/Sad/51.jpg,~,~,^,+
